sample,rock_type,voxels_x,voxels_y,voxels_z,resolution,porosity,kx,ky,kz,kavg,kharm
AC,carbonate,600,600,600,1.0,0.1317,16.2819875,19.4291864,19.2657685,18.3256475,18.2047610
DP,carbonate,600,600,600,0.9,0.3101,110.582197,116.227972,108.049050,111.619740,111.516354
EW,carbonate,600,600,600,1.0,0.3150,75.5635848,69.9516789,70.6808946,72.0653861,71.9811724
IH,carbonate,600,600,600,1.5,0.0309,13.7183062,10.0428807,24.3653488,16.0421786,14.0508502
IL,carbonate,600,600,600,2.0,0.0521,31.5237860,33.8849990,35.2429683,33.5505844,33.4791100
IM,carbonate,600,600,600,2.0,0.0377,15.1827065,15.1554535,14.3154271,14.8845290,14.8734295
LU,carbonate,600,600,600,2.0,0.0534,26.8955386,26.5991436,25.5503221,26.3483348,26.3355335
SD,carbonate,600,600,600,2.0,0.1521,555.679922,113.508618,124.805406,264.664649,161.099997
BB,sandstone,600,600,600,2.0,0.1215,75.0031590,71.6574523,63.3766088,70.0124070,69.6593142
BG,sandstone,600,600,600,2.0,0.1282,71.6959644,75.9330041,69.1694605,72.2661431,72.1595510
BIG,sandstone,600,600,600,5.0,0.2156,3980.87628,4437.52528,3300.52032,3906.30729,3848.45140
BN,sandstone,600,600,600,5.0,0.1855,2018.26642,1799.29594,1829.98236,1882.51491,1877.69799
BR,sandstone,600,600,600,3.0,0.1639,1649.91789,1814.75540,2391.08699,1951.92009,1904.33987
BS,sandstone,600,600,600,2.0,0.1925,559.861027,479.429561,479.597109,506.295899,503.604706
CO,sandstone,600,600,600,2.0,0.0274,6.54446627,6.58749233,6.49142186,6.54112667,6.54089098
IB,sandstone,600,600,600,2.0,0.2093,1054.53417,1077.93336,691.916298,941.461276,903.274733
KI,sandstone,600,600,600,2.0,0.2167,377.559398,384.227232,344.977426,368.921352,368.100109
