sample,tag,porosity_he,permeability_he,grain_density,cementation,T2_logmean,rho2_DT2,rho2_DDIF
Bandera Brown,BB,20.80,1.21,2.71,2.28,17.00,8.60,47.60
Bandera Gray,BG,21.70,22.60,2.72,2.01,29.00,10.00,48.60
Bentheimer,BN,23.20,2490.00,2.65,1.70,468.80,7.60,17.00
Berea,BE,20.20,149.00,2.67,1.83,89.20,11.40,38.20
Berea Stripe,BS,21.20,415.00,2.67,1.81,138.80,12.10,22.80
Boise Idaho Brown,IB,27.50,1510.00,2.61,2.00,203.80,8.30,31.00
Boise Idaho Gray,BIG,29.30,4310.00,2.61,2.13,362.30,12.00,17.70
Briarhill,BR,24.30,3900.00,2.65,1.90,312.40,16.50,15.40
Buff Berea,BU,24.40,698.00,2.67,1.90,124.90,13.00,21.50
Carbon Tan,CT,17.10,38.00,2.68,1.93,46.40,15.90,25.60
Castlegate,CA,26.30,1080.00,2.67,1.87,117.50,20.00,16.90
Crab Orchad,CO,6.50,0.09,2.69,1.65,24.20,19.60,114.40
Leapord,LE,20.50,1610.00,2.68,1.78,43.60,55.10,39.00
Kirby,KI,21.80,17.30,2.68,2.01,31.70,19.40,53.10
Nugget,NU,10.80,8.61,2.66,1.76,33.20,24.70,37.30
Parker,PA,19.90,10.30,2.69,1.89,16.30,13.00,36.60
Sister Gray Berea,SG,20.80,149.00,2.68,1.97,98.10,12.50,18.70
Torey Buff,TO,,,,,,,180.00
